"","Tr4","Tr5","Tr5_2"
"Myo81F",4.47566436050491,0.104324949440909,2.25088503952002
"Parp",1317.89881837619,1142.64685481532,892.251434641783
"Alg-2",2002.40958143649,2247.29679062482,2341.45800455413
"Tim17b",6677.41955770725,7958.32974732741,6966.97941186123
"CG41128",2159.5553888634,2309.980963761,2028.49178008889
"CG41099",650.201330227468,828.102747298431,606.118739350129
"CG42402",4.75824144874972,0,0.502608576771004
"Gfat1",4403.27501841762,3513.66787300761,3200.51659337253
"CG12581",165.093103798316,263.354048055325,383.582127854873
"beta-Man",557.901474062367,527.287753975754,495.504188638355
"CG14636",67.4609397311607,5.9707936348736,75.7374912063719
"aux",535.754930197479,213.045575796915,514.84923458814
"DhpD",184.819159248369,260.330567917831,147.153697984312
"CG14641",1214.50899217783,1261.34390752234,1260.63584692506
"abs",424.496607868613,350.131159269455,386.301748752378
"Gel",238.168430208575,116.292684185122,261.633585675948
"asRNA:CR46255",4.53618415017824,1.07452332208766,2.25088503952002
"CG14642",4.75824144874972,5.66928594390567,10.1289826778401
"CG34305",0,1.10929830523463,2.25088503952002
"CG1092",15.3852761793936,65.2672533628205,32.2626855664537
"Vps24",39.0169842251483,85.0151223879659,84.9795429711814
"Suv3",291.309246209007,323.115768883371,464.979581102711
"CG9795",350.45231710871,291.71308988216,362.85785716686
"CG9776",274.129431339043,283.158856118822,303.658781967572
"Skp2",354.148663124643,426.682938334128,689.490462409841
"CG1103",532.785335396774,886.627633732549,893.309488722849
"Sfxn1-3",738.588030492278,341.043645237836,266.320852232264
"Cont",1653.98954318145,964.63481366475,1389.2926507265
"tub",843.798913450949,726.488481671287,530.325340713108
"CG14646",773.629621927762,815.858466699215,637.738255237357
"CG34112",42.9279741088935,35.7452985564095,42.9184551091535
"asRNA:CR46139",3.79979210724031,2.2881465767632,6.3775076119734
"asRNA:CR45999",9.73856568649301,6.3747786226222,20.3337858223977
"CG9855",39.5021019419948,53.1798493473097,17.6618647259795
"CG9853",444.896071273359,753.723414876314,736.040799094816
"CG14647",649.186787234494,884.91738897359,1032.82034447203
"lncRNA:CR45187",10.5872563506873,14.9077277321078,0
"lost",11691.3923423167,9632.82973997233,9285.0769815949
"srl",102.686611023987,272.955798721459,195.542425030248
"CG31525",0,1.18234942699697,0
"eIF3a",610.998689729976,503.766029372133,750.462903687084
"CG1074",21.4473420083401,10.021176556008,25.0287982327334
"CG9804",3.74695985463502,1.63658816134383,4.61409981587732
"CG14650",224.096860756998,307.278295161338,147.628206220721
"CG31522",178.639698185884,115.543591022774,482.821127701845
"asRNA:CR43629",26.9021971200711,9.72299065927794,30.137610996001
"CG31523",3052.91131966376,1813.11141154912,2193.46257301626
"Fip1",249.326333697547,305.306826303893,372.195417658668
"CG34357",8.32692253531201,7.93269297498404,41.9811440428418
"CG9775",421.933199788152,401.565610756809,301.960495507173
"MED31",368.752664328733,353.649435823912,407.953205274536
"slx1",73.8761629833208,55.6021501368579,22.5595003229645
"Dlip2",260.438597698644,506.970706760798,220.813836321749
"rpk",0,0,0
"Karybeta3",567.929734209995,423.531973590481,784.761701251141
"spartin",6.6976545121024,85.837953313984,12.0047202107735
"smash",344.859733809346,311.395157450051,228.188192808043
"lncRNA:CR44156",0,16.8658668262804,0
"CG33927",0.475824144874972,0,6.53391149802305
"eIF3f1",2224.53013773284,2496.94239103204,1822.55519293702
"lncRNA:CR44923",47.9703002762181,0,110.788529058119
"Nep2",5694.47520975897,3105.63792808226,7659.19688120172
"tacc",845.441562357536,823.30341889012,917.762610266226
"asRNA:CR46137",4.74063919468865,2.14904664417532,0
"atms",564.406117810589,370.665397315469,532.596605137889
"CG44098",241.324357555222,115.055704896838,246.752015381061
"CG44088",0,2.92109858434547,0
"CG14655",3.5924632473613,1.42577430902576,6.11518439249433
"ctrip",292.750521939309,255.787578222054,373.54130907524
"Hus1-like",355.233424359517,282.235685442167,694.111473102717
"CG1129",529.30253075211,492.693116522711,402.34842541434
"CG14657",538.818906460762,555.100092229035,706.162019690162
"Gnf1",60.5054962889055,17.2619231196965,99.7811913473122
"Cdep",512.758289746224,452.433369093424,341.68950351128
"Ubc6",2225.46042704321,2233.81639507914,1563.98567207736
"CG2016",21979.472537578,28423.9568675058,31305.3686869126
"CG1124",51.667686545888,28.1166686954851,35.8066091179123
"lncRNA:CR43424",9.94302073100342,0,0
"corto",287.78096985633,113.396387470899,130.169292281355
"CG12007",625.877175351457,403.21797268922,495.218226905243
"cno",358.582259447181,283.570016992606,127.473481421438
"CG1116",461.028840294724,489.765228407854,434.100725198602
"Sccpdh1",1158.18176237097,818.64587898149,737.066525461038
"CG14664",57.3368094574342,16.8305666038838,256.434465438248
"Vps37B",847.086995187409,898.053981471506,1029.85046313776
"Kat60",109.17403737042,58.1877908543129,135.795642079384
"Mms19",119.667060329241,86.0953828178864,25.6388097937448
"CG12163",2538.70920436134,2788.09438957057,3298.21480414504
"asRNA:CR44019",3.09374342699589,10.6063698598258,1.38036466012868
"CG12173",396.068323476353,453.980310724666,259.666854117252
"Hph",201.339330801609,138.973829892351,34.2433517571139
"mtd",926.191826729445,1017.92242790007,806.05614759973
"CG31538",0,4.29809328835064,37.1930346810543
"Tim17b1",2.14120865193738,0,0.750295013173341
"CG11999",2383.94344711182,2873.00736850805,2354.574185927
"CG1161",1961.02196529031,2021.51249213846,2167.97046089708
"Prosbeta7",3229.6704044185,3125.35712826367,2700.70799869009
"Cerk",29.2155775474945,58.0242593927337,90.789651420975
"lncRNA:CR44103",3.56868108656229,0,0
"RpII18",3832.42023550707,3814.22057564317,4598.84831618736
"hd",11.8507242466241,37.9742815964911,29.1512974527182
"CG14667",45.1434460993147,47.8311062794186,46.4487153782934
"7B2",0,38.1133815290789,0
"kkv",813.394039229762,524.408509963188,496.875181742265
"CG1172",310.509668462366,455.837039851587,346.40486253215
"CG2663",2073.39793929317,2443.5950894366,3050.69515036694
"PEK",116.389624374863,92.6082906238361,16.8816377964002
"RpL35A",1984.01641883464,1760.89349198733,1937.51602851555
"POLDIP2",459.519464408276,397.940842011295,548.440747412758
"mRpL44",352.147676024699,374.910501354491,219.865887100221
"Snr1",531.916312821408,685.313830453795,769.84865741172
"Hcs",81.24478117953,57.377775906352,13.5053102371201
"ksr",21.7638558242419,25.0967977941699,15.3900962999571
"CG31550",75.1510743339919,214.725164033762,203.819087288813
"NKCC",0,0,0
"Itp-r83A",134.615378767986,175.077419607961,49.5382075293937
"CG2519",404.873597777344,339.962733575791,293.256948615024
"mia",47.7705649318448,0,64.5598771511918
"Pcmt",879.577884296941,1216.95323474639,879.036060912717
"Snm1",19.8860414620068,231.193269132279,36.0141606323204
"Pi4KIIalpha",195.624168749091,153.871830757462,203.759551055966
"CG14671",517.059312570234,539.222117198057,507.958559970091
"CG12746",197.756802552756,262.525597058267,262.143724781923
"CG2931",250.109488814063,248.882717076693,194.594762758148
"Rheb",1752.42423983221,1836.93343510709,1476.02444793386
"CRMP",432.498511096787,589.907269919177,383.203783545391
"CG2926",438.066939724469,338.474950920871,242.128374060172
"Rev7",20.018336452963,70.7840140318694,25.9605038709274
"noi",438.92876238437,258.533819569142,467.467354971595
"Vha26",4274.27054361847,2874.8424605177,2403.48518896789
"kra",15196.1197362562,15887.3257181996,16596.5895732553
"snoRNA:Psi28S-3385b",3.57332787254804,1.10929830523463,1.12544251976001
"snoRNA:Psi28S-3385a",1.29939195365383,3.22356996626298,0.375147506586671
"snoRNA:Psi28S-3091b",1.94908793048075,1.07452332208766,0
"snoRNA:Psi28S-3091a",1.29939195365383,2.14904664417532,0
"snoRNA:Psi28S-3571",0.475824144874972,1.18667733386946,0
